insCode,instrumentID,cValMne,lVal18,cSocCSAC,lVal18AFC,lVal30,cIsin,lastDate,flow,lSoc30,status_code,group_code,market_type_code,cComVal,cSecVal,cSoSecVal,yVal
495499165983171,IRO3ZF830001,ZF831,Const. Co.,ZF83,صنعت ساختمان,گسترش فن آوری های صنعت ساختمان,IRO3ZF830004,20180721,2,گسترش فن آوری های صنعت ساختمان,A,Z1,NO,5,74,7421,303
517453086671514,IRR3MOBZ0101,MOBX1,Mobin One Kish-R,MOBZ,اوانح,ح . مبین وان کیش,IRR3MOBZ0106,20220418,2,مبین وان کیش,A,1Z,NO,1,73,7310,403
540418221098215,IRR7MRGN0101,MRGX1,Margarin-R,MRGN,غمارگح,ح. مارگارین,IRR7MRGN0108,20230510,4,مارگارین,A,C1,NO,7,42,4214,404
589599697502308,IRO1KARP0001,KARP1,Karafarin Insur.,KARP,وآفری,بیمه کارآفرین,IRO1KARP0008,20230909,1,بیمه کارآفرین,A,N2,NO,5,66,6603,300
590761101519570,IRR1SIPA0101,SIPX1,Saipa-R,SIPA,خساپاح,ح . سایپا,IRR1SIPA0103,20191014,1,سایپا,A,N2,NO,5,34,3410,400
611986653700161,IRO3SBZZ0001,SBZZ1,Sabzevar Cement,SBZZ,سبزوا,سیمان لار سبزوار,IRO3SBZZ0005,20230909,2,سیمان لار سبزوار,A,1Z,NO,1,53,5394,303
651564801186566,IRO3ZF540001,ZF541,Novin Energy,ZF54,پیمانکاری نوین,پیمانکاری انرژی نوین,IRO3ZF540009,20180721,2,پیمانکاری انرژی نوین,A,Z1,NO,5,74,7490,303
655060129740445,IRO1OPAL0001,OPAL1,Opal Kani Pars,OPAL,اپال,فرآوری معدنی اپال کانی پارس,IRO1OPAL0000,20230909,1,فرآوری معدنی اپال کانی پارس,A,N2,NO,5,13,1310,300
685553375979058,IRB3SA0100B1,SA1Q1,ArvandOM.MNF220202,SA01,اروند01,منفعت صبا اروند امید14001113,IRB3SA0100B5,20221212,2,منفعت صبا اروند امید14001113,A,17,NO,4,69,6947,306
778253364357513,IRO1BMLT0001,BMLT1,S*Mellat Bank,BMLT,وبملت,بانک ملت,IRO1BMLT0007,20230909,1,بانک ملت,A,N1,NO,1,57,5719,300
793710053482057,IRO7PYAP0001,PYAP1,Payam Ind.,PYAP,لپیام,گسترش صنایع پیام,IRO7PYAP0008,20230909,4,گسترش صنایع پیام,A,P1,NO,7,32,3230,309
796556604064374,IRO3GSMZ0001,GSMZ1,Gheshm Marine,GSMZ,حقشم,دریایی و مهندسی کشتیرانی قشم,IRO3GSMZ0005,20230909,2,دریایی و مهندسی کشتیرانی قشم,A,Z1,NO,3,61,6120,303
831325835570803,IRO7CNAP0001,CNAP1,Namavaran Co.,CNAP,ثنام,س ساختمانی ب نام آوران مهندسی,IRO7CNAP0006,20230909,4,س ساختمانی ب نام آوران مهندسی,A,P1,NO,7,70,7010,309
881618880255065,IRB3SS2499C1,S24Q1,SSI-IJR2-NVN210316,SS24,شستا994,اجاره تامین اجتماعی-نوین991226,IRB3SS2499C9,20221212,2,اجاره شستا-بخش2-نوین13991226,A,17,NO,4,69,6910,306
917857106093847,IRO3HPRZ0001,HPRZ1,Parsian Oil&Gas,HPRZ,حپارسا,توسعه حمل و نقل ریلی پارسیان,IRO3HPRZ0002,20230909,2,توسعه حمل و نقل ریلی پارسیان,A,1Z,NO,1,60,6010,303
971068957336171,IRT3GTYF0001,GTYF1,GarantyGity ETF-QR,GTYF,گارانتی,صندوق تضمین ا.س. گیتی دماوند-م,IRT3GTYF0003,20230611,2,صندوق تضمین اصل سرمایه دماوند,A,T1,NO,4,68,6810,305
1050751214677134,IRO5PSGS0001,PSGS1,PetroSanat Gameron,PSGS,شگامرن,مجتمع پترو صنعت گامرون,IRO5PSGS0009,20230822,2,مجتمع پترو صنعت گامرون,A,V1,NO,9,44,4411,313
1123534346391630,IRX6X28T0006,X28T6,Index Group 28,IDXS,28-محصولات فلزی6,28-محصولات فلزی,IRX6X28T0006,20171212,1,شرکت شاخص,I,00,ID,6,X1,X1  ,68
1200391996585610,IRO6MELZ97A1,TM121,Melli Mortgage1901,MELZ,تملی710,تسهیلات مسکن ب. ملی-دی97,IRO6MELZ97A0,20230702,2,تسهیلات مسکن بانک ملی ایران,A,M1,NO,4,59,5910,307
1241998328504490,IRT3NEHF0001,NEHF1,Neshan ETF,NEHF,نشان,صندوق س. نشان هامرز-د,IRT3NEHF0002,20230709,2,ص.س.د. مختص اوراق دولتی نشان,A,1A,NO,4,68,6812,305
1245925241417929,IRO3MSZ91081,MK261,Bank Maskan,MSKZ,تسه9108,امتیازتسهیلات مسکن آبان ماه 91,IRO3MSZ91088,20180721,2,بانک مسکن,A,Z1,NO,4,59,5910,303
1277592884769853,IRO1OS230001,OS231,Golestan Inv.,OS23,وسگلستا,شرکت س استان گلستان,IRO1OS230007,20230909,1,شرکت س استان گلستان,A,N2,NO,5,56,5699,300
1301069819790264,IRO3TMMZ0001,TMMZ1,TajaliMines&Metals,TMMZ,تجلی,تجلی توسعه معادن و فلزات,IRO3TMMZ0006,20230909,2,تجلی توسعه معادن و فلزات,A,Z1,NO,3,13,1399,303
1314853494617240,IRR1KSAD0101,KSAX1,Saadi Tile-R,KSAD,کسعدیح,ح . کاشی  سعدی,IRR1KSAD0103,20230531,1,کاشی  سعدی,A,N2,NO,5,49,4993,400
1358190916156744,IRO1TAZB0001,TAZB1,Azarbayjan Inv.,TAZB,وآذر,سرمایه گذاری توسعه آذربایجان,IRO1TAZB0005,20230909,1,سرمایه گذاری توسعه آذربایجان,A,N2,NO,5,70,7099,300
1359959101711313,IRO3MSZ92071,MK371,BANK MASKAN,MSKZ,تسه9207,امتیاز تسهیلات مسکن مهرماه 92,IRO3MSZ92078,20180721,2,بانک مسکن,A,Z1,NO,4,59,5910,303
1438514795814416,IRT1YGHT0001,YGHT1,Yaghoot Agah ETF,YGHT,یاقوت,صندوق س یاقوت آگاه-ثابت,IRT1YGHT0003,20230227,1,صندوق س یاقوت آگاه-ثابت,A,H1,NO,4,68,6812,305
1625149423498289,IRO3SMBZ0001,SMBZ1,Sina Marine srv,SMBZ,حسینا,توسعه خدمات دریایی وبندری سینا,IRO3SMBZ0000,20230909,2,توسعه خدمات دریایی وبندری سینا,A,1Z,NO,1,60,6003,303
1771069330721898,IRR7PJHP0101,PJHX1,Jahrom Petro.-R,PJHP,جهرمح,ح.پتروشیمی جهرم,IRR7PJHP0102,20220412,4,پتروشیمی جهرم,A,P1,NO,7,44,4411,404
1775538989481366,IRO6MSKZ0051,MZ321,Mortgage Right0005,MSKZ,تسه0005,امتیازتسهیلات مسکن مرداد 1400,IRO6MSKZ0055,20230717,2,بانک مسکن,A,M1,NO,4,59,5910,307
1778142796834142,IRO6MELZ9831,TM171,Melli Mortgage1906,MELZ,تملی803,تسهیلات مسکن ب. ملی-خرداد98,IRO6MELZ9838,20230702,2,تسهیلات مسکن بانک ملی ایران,A,M1,NO,4,59,5910,307
1806692551822666,IRB3AL010251,AL1Q1,AlborzNr.IJR230805,AL01,البرز02,اجاره ریلی البرزنیرو14020514,IRB3AL010258,20230607,2,تجهیزات ناوگان ریلی البرزنیرو,A,17,NO,4,69,6910,306
1811292893243712,IRB1QM040001,QM4Q1,Quotes 04,QM04,مظنه4,مظنه پذیره4- اوراق منفعت دولت,IRB1QM040001,20220525,2,مظنه پذیره نویسی اوراق دولتی4,A,18,NO,4,69,6946,402
1822787329898392,IRO3CHPZ0001,CHPZ1,Chlor Pars,CHPZ,کلر,کلر پارس,IRO3CHPZ0009,20230909,2,کلر پارس,A,1Z,NO,1,44,4411,303
1852132120586484,IRR1INDM0101,INDX1,Indamin-R,INDM,خکمکح,ح . کمک فنرایندامین,IRR1INDM0108,20171213,1,کمک فنرایندامین,A,N2,NO,5,34,3430,400
1860384396424573,IRR1SHSI0101,SHSX1,Sina Chem. Ind.-R,SHSI,شسیناح,ح . صنایع شیمیایی سینا,IRR1SHSI0103,20230111,1,صنایع شیمیایی سینا,A,N1,NO,3,44,4411,400
1911343624441437,IRR1OFOG0101,OFOX1,Ofogh Koorosh-R,OFOG,افقح,ح .فروشگاه زنجیره ای افق کوروش,IRR1OFOG0105,20210220,1,فروشگاههای زنجیره ای افق کوروش,A,N2,NO,5,47,4711,400
1931037287459558,IRR1MOTJ0101,MOTX1,Motogen-R,MOTJ,بموتوح,ح . موتوژن,IRR1MOTJ0108,20230909,1,موتوژن,A,N1,NO,1,31,3110,400
2019449432639594,IRT3PDUF0001,PDUF1,Petro Dariush ETF,PDUF,پتروداریوش,صندوق س. بخشی پترو داریوش-ب,IRT3PDUF0004,20230812,2,صندوق س. بخشی پترو داریوش,A,T1,NO,4,68,6819,305
2050740941534952,IRR1ALMR0101,ALMX1,Alomrad-R,ALMR,فمرادح,ح . آلومراد,IRR1ALMR0102,20200823,1,آلومراد,A,N2,NO,5,27,2720,400
2122354233695079,IRR1SBHN0101,SBHX1,Behbahan Cement-R,SBHN,سبهانح,ح . سیمان  بهبهان,IRR1SBHN0105,20200610,1,سیمان  بهبهان,A,N2,NO,5,53,5394,400
2135047529277416,IRR3ETLZ0101,ETLX1,Alborz Invest.-R,ETLZ,اعتلاح,ح سرمایه گذاری اعتلاء البرز,IRR3ETLZ0109,20230830,2,شرکت سرمایه گذاری اعتلاء البرز,A,16,NO,3,56,5699,403
2147129961448440,IRO6MELZ97C1,TM141,Melli Mortgage1903,MELZ,تملی712,تسهیلات مسکن ب. ملی-اسفند97,IRO6MELZ97C6,20230702,2,تسهیلات مسکن بانک ملی ایران,A,M1,NO,4,59,5910,307
2161110547458064,IRT3SEDF0001,SEDF1,Sepid Damavand ETF,SEDF,سپیدما,صندوق س. سپید دماوند-د,IRT3SEDF0001,20230702,2,صندوق س. سپید دماوند,A,1A,NO,4,68,6812,305
2254054929817435,IRO1KDPS0001,KDPS1,P. Animal Feed,KDPS,غدام,خوراک   دام  پارس,IRO1KDPS0004,20230909,1,خوراک  دام  پارس,A,N2,NO,5,42,4233,300
2262715289665960,IRR1RADI0101,RADX1,Iran Radiator-R,RADI,ختورح,ح . رادیاتور ایران,IRR1RADI0108,20230419,1,رادیاتور ایران,A,N1,NO,3,34,3430,400
2287142185257795,IROTMAKH0001,MAKH1,Makhmal Kashan,MAKH,نمخمل,مخمل و ابریشم کاشان,IROTMAKH0007,20230904,2,کارخانجات مخمل و ابریشم کاشان,A,OT,NO,7,17,1711,319
2318736941376687,IRO7SDRP0001,SDRP1,SADRA,SDRP,خصدرا,صنعتی  دریایی  ایران,IRO7SDRP0001,20230909,4,صنعتی  دریایی  ایران,A,P1,NO,7,45,4520,309
2328862017676109,IRO1SPAH0001,SPAH1,Sepah Inv.,SPAH,وسپه,سرمایه گذاری  سپه,IRO1SPAH0002,20230909,1,سرمایه گذاری  سپه,A,N1,NO,1,56,5699,300
2334276998450282,IRR7MILP0101,MILX1,Ahan&Folad Co-R,MILP,بمیلاح,ح.توسعه سرمایه گذاری میلادپارس,IRR7MILP0100,20230131,4,توسعه سرمایه گذاری میلاد پارس,A,P1,NO,7,46,4610,404
2362491091971813,IRR1TMEL0101,TMEX1,Tosee Melli Inv-R,TMEL,وتوسمح,ح . سرمایه گذاری توسعه ملی,IRR1TMEL0106,20171213,1,سرمایه گذاری توسعه ملی,A,N1,NO,3,56,5699,400
2400322364771558,IRO1TAMN0001,TAMN1,Social Sec Inv,TAMN,شستا,سرمایه گذاری تامین اجتماعی,IRO1TAMN0006,20230909,1,سرمایه گذاری تامین اجتماعی,A,N2,NO,5,39,3999,300
2432718060936300,IRO1SAKH0201,SK021,Iran Const. Inv2,SAKH,وساخت عمده2,س. ساختمان ایران عمده2,IRO1SAKH0205,20230909,1,سرمایه گذاری ساختمان ایران,A,91,NO,1,70,7099,300
2434703913394836,IRO1DMOR0001,DMOR1,Dasht Morghab,DMOR,غدشت,دشت  مرغاب,IRO1DMOR0004,20230909,1,دشت  مرغاب,A,N2,NO,5,42,4213,300
2501017203331667,IRR1DPAK0101,DPAX1,Daroupakhsh P.-R,DPAK,داروح,ح . کارخانجات داروپخش,IRR1DPAK0106,20230111,1,کارخانجات داروپخش,A,N2,NO,5,43,4323,400
2512214120008228,IRO1FSIN0001,FSIN1,Investment Sina,FSIN,سینا,مالی و سرمایه گذاری سینا,IRO1FSIN0008,20230909,1,مالی و سرمایه گذاری سینا,A,N2,NO,5,39,3999,300
2589887561569709,IRO1ZMYD0001,ZMYD1,Zamyad,ZMYD,خزامیا,زامیاد,IRO1ZMYD0002,20230909,1,زامیاد,A,N2,NO,5,34,3410,300
2696258159590598,IRT3VC120001,VC121,Yek Pishgam VCF-VR,VC12,پیشگام,ص.ج.رشد یکم پیشگام 50%تادیه,IRT3VC120006,20230515,2,ص.س.جسورانه رشد یکم پیشگام,A,T1,NO,4,68,6815,305
2705253775088582,IRR1SHPZ0101,SHPX1,W. Azar. Pegah-R,SHPZ,غشاذرح,ح .  پگاه آذربایجان غربی,IRR1SHPZ0105,20200929,1,پگاه آذربایجان غربی,A,N1,NO,3,42,4220,400
2736448581569857,IRB3DS010651,DS011,DSanko MRB 270821,DS01,دسانکو06,مرابحه سبحان انکولوژی060530,IRB3DS010654,20230821,2,مرابحه داروسازی سبحان انکولوژی,A,17,NO,4,69,6911,306
2786094660320231,IRR3PMTZ0101,PMTX1,Maskan Invest.-R,PMTZ,ثترانح,ح سرمایه گذاری مسکن تهران,IRR3PMTZ0105,20210828,2,سرمایه گذاری مسکن تهران,A,Z1,NO,3,70,7010,403
2819110578357790,IRR1SSOF0101,SSOX1,Soufian Cement-R,SSOF,سصوفیح,ح . سیمان  صوفیان,IRR1SSOF0107,20200216,1,سیمان  صوفیان,A,N1,NO,1,53,5394,400
2855515398698068,IRR1MRIN0101,MRIX1,Iranmerinos-R,MRIN,نمرینوح,ح . ایران  مرینوس,IRR1MRIN0102,20230809,1,ایران  مرینوس,A,61,NO,5,17,1711,400
2888358730233310,IRB3SI2399B1,I23Q1,SOV.IJR2-MLT210206,SI23,اجاد23,اجاره دولتی آپرورش-ملت991118,IRB3SI2399B4,20221212,2,اجاره دولتی آپرورش-ملت991118,A,17,NO,4,69,6942,306
2892746204060110,IRR3AFRZ0101,AFRX1,Afra Net Co. -R,AFRZ,افراح,ح. افرانت,IRR3AFRZ0103,20220828,2,افرانت,A,1Z,NO,1,72,7200,403
2929948497881810,IRB3SI2599B1,I25Q1,SOV.IJR2-SPH210206,SI25,اجاد25,اجاره دولتی آپرورش-سپهر991118,IRB3SI2599B9,20221212,2,اجاره دولتی آپرورش-سپهر991118,A,17,NO,4,69,6942,306
2944500421562364,IRO1TOSA0001,TOSA1,Iran Ind. Dev.,TOSA,وتوصا,گروه س توسعه صنعتی ایران,IRO1TOSA0009,20230909,1,گروه س توسعه صنعتی ایران,A,N1,NO,1,56,5699,300
3019817952865782,IRB3TB750291,TB751,TreasuryBill231127,TB75,اخزا821,اسنادخزانه-م21بودجه98-020906,IRB3TB750292,20220906,2,اسنادخزانه اسلامی-م21بودجه1398,A,I1,NO,4,69,6940,306
3037464497437282,IRR1SKER0101,SKEX1,Kerman Cement-R,SKER,سکرماح,ح . سیمان  کرمان,IRR1SKER0103,20180101,1,سیمان  کرمان,A,N1,NO,1,53,5394,400
3050342257199174,IRO7NJSP0001,NJSP1,Naghsh Jahan Sugar,NJSP,قنقش,قند نقش جهان,IRO7NJSP0009,20230909,4,قند نقش جهان,A,P1,NO,7,38,3842,309
3050805371360862,IRR3ETKZ0101,ETKX1,Iranian Etekai-R,ETKZ,اتکایح,ح . بیمه اتکایی ایرانیان,IRR3ETKZ0100,20210918,2,بیمه اتکایی ایرانیان,A,Z1,NO,3,66,6603,403
3083005592739412,IRO5UWCS0001,UWCS1,Urumieh WHT.Cement,UWCS,سفاروم,سیمان سفید ارومیه,IRO5UWCS0000,20180721,2,سیمان سفید ارومیه,A,V1,NO,9,53,5394,313
3149396562827132,IRO1LIRZ0001,LIRZ1,Iranian Lizing,LIRZ,وایران,لیزینگ ایرانیان,IRO1LIRZ0007,20230909,1,لیزینگ ایرانیان,A,N1,NO,1,58,5891,300
3164894984700505,IRR3ISLZ0101,ISLX1,Iran & hargh Lsg-R,ISLZ,ولشرقح,ح . لیزینگ ایران و شرق,IRR3ISLZ0106,20230502,2,لیزینگ ایران و شرق,A,16,NO,1,58,5891,403
3173544097113770,IRO7STNP0001,STNP1,Golestan Petro.,STNP,شستان,پتروشیمی گلستان,IRO7STNP0007,20230909,4,پتروشیمی گلستان,A,P1,NO,7,44,4411,309
3203898026678865,IRB3ID0105C1,ID011,IDM MRB270313,ID01,صنایع ایران05,مرابحه قطعات صنایع14051222,IRB3ID0105C7,20230607,2,طراحی و ساخت قطعات صنایع ایران,A,17,NO,4,69,6911,306
3231489895425696,IRR3NPSZ0101,NPSX1,NPSZ-R,NPSZ,شپاسح,ح . نفت پاسارگاد,IRR3NPSZ0105,20180721,2,نفت پاسارگاد,A,Z1,NO,3,23,2308,403
3329167699100936,IRT3VC060001,VC061,RetirementT VCF-VR,VC06,فنابا,ص.س.ج. فناوری بازنشستگی,IRT3VC060004,20230515,2,ص.س.جسورانه فناوری بازنشستگی,A,T1,NO,4,68,6815,305
3362850293262749,IRR1DALZ0101,DALX1,Alborz Darou-R,DALZ,دالبرح,ح . البرزدارو,IRR1DALZ0103,20221129,1,البرزدارو,A,N1,NO,1,43,4323,400
3370493881245014,IRO6MSKZ98B1,MZ141,Mortgage Right9811,MSKZ,تسه9811,امتیاز تسهیلات مسکن بهمن98,IRO6MSKZ98B8,20230717,2,بانک مسکن,A,M1,NO,4,59,5910,307
3388451018224720,IRR1PELC0101,PELX1,Pars Electric-R,PELC,لپارسح,ح . پارس  الکتریک,IRR1PELC0102,20171213,1,پارس  الکتریک,A,N2,NO,5,32,3230,400
3407806799514469,IRO3URPZ0001,URPZ1,UrmiaPetrochemical,URPZ,شاروم,پتروشیمی ارومیه,IRO3URPZ0005,20230909,2,پتروشیمی ارومیه,A,1Z,NO,1,44,4412,303
3426578415893871,IRR7PKBP0101,PKBX1,Amir Kabir Co.-R,PKBP,شکبیرح,ح.پتروشیمی امیرکبیر,IRR7PKBP0105,20190908,4,پتروشیمی امیرکبیر,A,P1,NO,7,44,4411,404
3427503698999958,IRR7SOLP0101,SOLX1,Soliran -R,SOLP,فسلیرح,ح.سولیران,IRR7SOLP0106,20200930,4,سولیران,A,L1,NO,7,28,2811,404
3453027360500664,IRB3SS330051,S33Q1,SSI-IJR3-SPH210814,SS33,شستا003,اجاره تامین اجتماعی-سپهر000523,IRB3SS330055,20221212,2,اجاره شستا-بخش3-سپهر14000523,A,17,NO,4,69,6910,306
3454456635278563,IRXZXOCI0026,XOC26,IFB Equel Weithed,IDXS,کل هم وزن فرابورس6,شاخص کل هم وزن فرابورس,IRXZXOCI0024,20180721,2,شرکت شاخص,I,00,ID,6,X1,X1  ,69
3490763436807651,IRB1QM080001,QM8Q1,Quotes 08,QM08,مظنه8,مظنه پذیره8- اوراق منفعت دولت,IRB1QM080007,20220525,2,مظنه پذیره نویسی اوراق دولتی8,A,18,NO,4,69,6946,402
3492952121304423,IRO3PKDZ0001,PKDZ1,Pakdis Company,PKDZ,غدیس,پاکدیس,IRO3PKDZ0003,20230909,2,پاکدیس,A,1Z,NO,1,42,4254,303
3493306453706327,IRO1SHOY0001,SHOY1,Behshahr Ind.,SHOY,شوینده,مدیریت صنعت شوینده ت.ص.بهشهر,IRO1SHOY0005,20230909,1,مدیریت صنعت شوینده ت.ص.بهشهر,A,N1,NO,3,44,4424,300
3505675353152597,IRR1SORB0101,SORX1,N. I. L. Z.-R,SORB,فسربح,ح . ملی  سرب وروی  ایران,IRR1SORB0102,20230111,1,ملی  سرب وروی  ایران,A,N1,NO,3,27,2720,400
3542690854557886,IRO5KLSS0001,KLSS1,Kia Eled. Shargh,KLSS,کیا,کیا الکترود شرق,IRO5KLSS0007,20230123,2,کیا الکترود شرق,A,V1,NO,9,28,2899,313
3577388800305243,IRB3TB950381,TB951,TreasuryBill241111,TB95,اخزا001,اسنادخزانه-م1بودجه00-030821,IRB3TB950389,20220906,2,اسنادخزانه اسلامی-م1بودجه1400,A,I1,NO,4,69,6940,306
3615666621538524,IRX6X43T0006,X43T6,Index Group 43,IDXS,43-مواد دارویی6,43-مواد دارویی,IRX6X43T0007,20171212,1,شرکت شاخص,I,00,ID,6,X1,X1  ,68
3623921205367364,IRO1DMVN0001,DMVN1,Damavand Min.,DMVN,کدما,معدنی  دماوند,IRO1DMVN0009,20230909,1,معدنی  دماوند,A,N2,NO,5,13,1320,300
3641651712782169,IRB3TB9002B1,TB901,TreasuryBill240207,TB90,اخزا915,اسنادخزانه-م15بودجه99-021118,IRB3TB9002B0,20220906,2,اسنادخزانه اسلامی-م15بودجه1399,A,I1,NO,4,69,6940,306
3654864906585643,IRO1TKNO0001,TKNO1,Technotar,TKNO,تکنو,تکنوتار,IRO1TKNO0002,20230909,1,تکنوتار,A,N2,NO,5,29,2912,300
3679885359158219,IRR1SAKH0101,SAKX1,Iran Const. Inv-R,SAKH,وساختح,ح . سرمایه  گذاری  ساختمان,IRR1SAKH0109,20171213,1,سرمایه گذاری ساختمان ایران,A,N1,NO,1,70,7099,400
3715246194918044,IRB3KORZ9821,KORQ1,Siman Kord. 22%,KORZ,سکرد98,مشارکت سیمان کردستان980219,IRB3KORZ9824,20221212,2,مشارکت سیمان کردستان980219,A,17,NO,4,69,6923,306
3722699128879020,IRO1TAYD0001,TAYD1,Tidewater,TAYD,حتاید,تایدواترخاورمیانه,IRO1TAYD0004,20230909,1,تایدواترخاورمیانه,A,N1,NO,1,60,6003,300
3727693296236633,IRR1SAMA0101,SAMX1,Ama-R,SAMA,فاماح,ح . صنعتی  آما,IRR1SAMA0104,20171213,1,صنعتی  آما,A,N1,NO,3,28,2899,400
3823146019192598,IRR3SHHZ0101,SHHX1,Shahdab Khorasan-R,SHHZ,غشهدابح,ح. کشت و صنعت شهداب ناب خراسان,IRR3SHHZ0103,20220418,2,کشت و صنعت شهداب ناب خراسان,A,1Z,NO,1,42,4249,403
3826561665587230,IRO6MELZ9761,TM081,Melli Mortgage1809,MELZ,تملی706,تسهیلات مسکن ب. ملی-شهریور97,IRO6MELZ9762,20230702,2,تسهیلات مسکن بانک ملی ایران,A,M1,NO,4,59,5910,307
3839324986781871,IRO3TASZ0001,TASZ1,Tapsi,TASZ,تپسی,پیشگامان فن آوری و دانش آرامیس,IRO3TASZ0004,20230909,2,پیشگامان فن آوری و دانش آرامیس,A,Z1,NO,3,72,7220,303
3846143218462419,IRT1AFRN0001,AFRN1,Afra Namad ETF,AFRN,افران,صندوق س افرا نماد پایدار-ثابت,IRT1AFRN0006,20230703,1,صندوق س افرا نماد پایدار-ثابت,A,H1,NO,4,68,6812,305
3852548583453231,IRR1GMEL0101,GMEX1,Melli Ind. Grp.-R,GMEL,وملیح,ح . گروه  صنعتی  ملی  (هلدینگ,IRR1GMEL0101,20171213,1,گروه  صنعتی  ملی  (هلدینگ,A,N2,NO,5,19,1999,400
3863538898378476,IRO1MSKN0001,MSKN1,Housing Inv.,MSKN,ثمسکن,سرمایه گذاری  مسکن,IRO1MSKN0005,20230909,1,سرمایه گذاری  مسکن,A,N1,NO,1,70,7021,300
3893110467363738,IRR1NAFT0101,NAFX1,Oil Ind. Inv.-R,NAFT,ونفتح,ح . سرمایه گذاری  صنعت  نفت,IRR1NAFT0107,20200823,1,سرمایه گذاری صنعت نفت,A,N1,NO,1,23,2399,400
3894699865003304,IRB3TF080581,TF8Q1,TFardaIJRSEP261025,TF08,تابان08,اجاره تابان فردا سپهر14050803,IRB3TF080589,20230607,2,اجاره تابان فردا سپهر14050803,A,17,NO,4,69,6910,306
3917385912636499,IRXZXFIN0006,XFIN6,IFB Financial Indx,IDXS,مالی فرابورس6,شاخص مالی فرابورس,IRXZXFIN0006,20180721,2,شرکت شاخص,I,00,ID,6,X1,X1  ,69
3955137492069792,IRB3AT0106C1,AT011,Atieh St MRB280225,AT01,آتیه06,مرابحه فولاد آتیه 14061206,IRB3AT0106C8,20230607,2,مرابحه فولاد آتیه خاورمیانه,A,17,NO,4,69,6911,306
3955332316338258,IRO3TOIZ0001,TOIZ1,Toba Inv.,TOIZ,وطوبی,سرمایه گذاری اقتصاد شهر طوبی,IRO3TOIZ0000,20230909,2,سرمایه گذاری اقتصاد شهر طوبی,A,1Z,NO,1,56,5699,303
3994823794687025,IRR7SHLP0101,SHLX1,Lordegan Petr-R,SHLP,شلردح,ح.کود شیمیایی اوره لردگان,IRR7SHLP0105,20181216,4,کود شیمیایی اوره لردگان,A,P1,NO,7,44,4412,404
